Rk,Tm,Year,#Matching,W,L,,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GDP,SB,CS,WPA
252,SDP,2004,162,87,75,Ind. Games,6313,5573,768,1521,304,32,139,722,566,910,.273,.342,.414,.756,52,66,45,56,128,52,25,4.3
253,SDP,2009,162,75,87,Ind. Games,6179,5425,638,1315,265,31,141,605,586,1182,.242,.321,.381,.701,74,36,52,57,131,82,29,-1.4
254,SDP,1982,162,81,81,Ind. Games,6160,5575,675,1435,217,52,81,611,429,877,.257,.311,.359,.669,86,47,78,22,96,165,77,2.9
255,SDP,2014,162,77,85,Ind. Games,5905,5294,535,1199,224,30,109,500,468,1294,.226,.292,.342,.634,56,45,27,41,118,91,34,-9.4
256,SDP,1987,162,65,97,Ind. Games,6177,5456,668,1419,209,48,113,621,577,993,.260,.332,.378,.710,81,36,75,27,122,198,91,-8.8
257,SDP,1992,162,82,80,Ind. Games,6074,5476,617,1396,255,30,135,576,453,864,.255,.313,.386,.699,78,41,67,26,127,69,52,-0.3
258,SDP,1997,162,76,86,Ind. Games,6373,5609,795,1519,275,16,152,761,604,1129,.271,.342,.407,.749,63,58,40,35,130,140,60,7.2
259,SDP,2002,162,66,96,Ind. Games,6178,5515,662,1393,243,29,136,627,547,1062,.253,.321,.381,.702,45,41,42,30,132,71,44,-3.7
260,SDP,2012,162,76,86,Ind. Games,6112,5422,651,1339,272,43,121,610,539,1238,.247,.319,.380,.699,63,34,36,54,100,155,46,-0.3
261,PIT,1990,162,95,67,Ind. Games,6161,5388,733,1395,288,42,138,693,582,914,.259,.330,.405,.735,96,66,64,24,115,137,52,7.3
262,PIT,2000,162,69,93,Ind. Games,6369,5643,793,1506,320,31,168,749,564,1032,.267,.339,.424,.762,59,37,41,66,133,86,40,-4.4
263,PIT,2005,162,67,95,Ind. Games,6221,5573,680,1445,292,38,139,656,471,1092,.259,.322,.400,.723,56,49,38,72,130,73,30,-9.1
264,PIT,2010,162,57,105,Ind. Games,5974,5386,587,1303,276,27,126,570,463,1207,.242,.304,.373,.678,58,33,28,33,119,87,36,-10.9
265,PIT,1983,162,84,78,Ind. Games,6176,5531,659,1460,238,29,121,612,497,873,.264,.325,.383,.708,84,38,63,19,121,124,77,0.1
266,PIT,2015,162,98,64,Ind. Games,6285,5631,697,1462,292,27,140,661,461,1322,.260,.323,.396,.719,63,41,46,89,115,98,45,1.7
267,PIT,1993,162,75,87,Ind. Games,6269,5550,707,1482,267,50,110,664,536,972,.267,.335,.393,.727,75,52,50,55,129,92,55,1.1
